Gender,Age,Salary,Purchase Iphone
Male,19,19000,0
Male,35,20000,0
Female,26,43000,0
Female,27,57000,0
Male,19,76000,0
Male,27,58000,0
Female,27,84000,0
Female,32,150000,1
Male,25,33000,0
Female,35,65000,0
Female,26,80000,0
Female,26,52000,0
Male,20,86000,0
Male,32,18000,0
Male,18,82000,0
Male,29,80000,0
Male,47,25000,1
Male,45,26000,1
Male,46,28000,1
Female,48,29000,1
Male,45,22000,1
Female,47,49000,1
Male,48,41000,1
Female,45,22000,1
Male,46,23000,1
Male,47,20000,1
Male,49,28000,1
Female,47,30000,1
Male,29,43000,0
Male,31,18000,0
Male,31,74000,0
Female,27,137000,1
Female,21,16000,0
Female,28,44000,0
Male,27,90000,0
Male,35,27000,0
Female,33,28000,0
Male,30,49000,0
Female,26,72000,0
Female,27,31000,0
Female,27,17000,0
Female,33,51000,0
Male,35,108000,0
Male,30,15000,0
Female,28,84000,0
Male,23,20000,0
Male,25,79000,0
Female,27,54000,0
Male,30,135000,1
Female,31,89000,0
Female,24,32000,0
Female,18,44000,0
Female,29,83000,0
Female,35,23000,0
Female,27,58000,0
Female,24,55000,0
Female,23,48000,0
Male,28,79000,0
Male,22,18000,0
Female,32,117000,0
Male,27,20000,0
Male,25,87000,0
Female,23,66000,0
Male,32,120000,1
Female,59,83000,0
Male,24,58000,0
Male,24,19000,0
Female,23,82000,0
Female,22,63000,0
Female,31,68000,0
Male,25,80000,0
Female,24,27000,0
Female,20,23000,0
Female,33,113000,0
Male,32,18000,0
Male,34,112000,1
Male,18,52000,0
Female,22,27000,0
Female,28,87000,0
Female,26,17000,0
Male,30,80000,0
Male,39,42000,0
Male,20,49000,0
Male,35,88000,0
Female,30,62000,0
Female,31,118000,1
Male,24,55000,0
Female,28,85000,0
Male,26,81000,0
Male,35,50000,0
Male,22,81000,0
Female,30,116000,0
Male,26,15000,0
Female,29,28000,0
Female,29,83000,0
Female,35,44000,0
Female,35,25000,0
Male,28,123000,1
Male,35,73000,0
Female,28,37000,0
Male,27,88000,0
Male,28,59000,0
Female,32,86000,0
Female,33,149000,1
Female,19,21000,0
Male,21,72000,0
Female,26,35000,0
Male,27,89000,0
Male,26,86000,0
Female,38,80000,0
Female,39,71000,0
Female,37,71000,0
Male,38,61000,0
Male,37,55000,0
Male,42,80000,0
Male,40,57000,0
Male,35,75000,0
Male,36,52000,0
Male,40,59000,0
Male,41,59000,0
Female,36,75000,0
Male,37,72000,0
Female,40,75000,0
Male,35,53000,0
Female,41,51000,0
Female,39,61000,0
Male,42,65000,0
Male,26,32000,0
Male,30,17000,0
Female,26,84000,0
Male,31,58000,0
Male,33,31000,0
Male,30,87000,0
Female,21,68000,0
Female,28,55000,0
Male,23,63000,0
Female,20,82000,0
Male,30,107000,1
Female,28,59000,0
Male,19,25000,0
Male,19,85000,0
Female,18,68000,0
Male,35,59000,0
Male,30,89000,0
Female,34,25000,0
Female,24,89000,0
Female,27,96000,1
Female,41,30000,0
Male,29,61000,0
Male,20,74000,0
Female,26,15000,0
Male,41,45000,0
Male,31,76000,0
Female,36,50000,0
Male,40,47000,0
Female,31,15000,0
Male,46,59000,0
Male,29,75000,0
Male,26,30000,0
Female,32,135000,1
Male,32,100000,1
Male,25,90000,0
Female,37,33000,0
Male,35,38000,0
Female,33,69000,0
Female,18,86000,0
Female,22,55000,0
Female,35,71000,0
Male,29,148000,1
Female,29,47000,0
Male,21,88000,0
Male,34,115000,0
Female,26,118000,0
Female,34,43000,0
Female,34,72000,0
Female,23,28000,0
Female,35,47000,0
Male,25,22000,0
Male,24,23000,0
Female,31,34000,0
Male,26,16000,0
Female,31,71000,0
Female,32,117000,1
Male,33,43000,0
Female,33,60000,0
Male,31,66000,0
Female,20,82000,0
Female,33,41000,0
Male,35,72000,0
Male,28,32000,0
Male,24,84000,0
Female,19,26000,0
Male,29,43000,0
Male,19,70000,0
Male,28,89000,0
Male,34,43000,0
Female,30,79000,0
Female,20,36000,0
Male,26,80000,0
Male,35,22000,0
Male,35,39000,0
Male,49,74000,0
Female,39,134000,1
Female,41,71000,0
Female,58,101000,1
Female,47,47000,0
Female,55,130000,1
Female,52,114000,0
Female,40,142000,1
Female,46,22000,0
Female,48,96000,1
Male,52,150000,1
Female,59,42000,0
Male,35,58000,0
Male,47,43000,0
Female,60,108000,1
Male,49,65000,0
Male,40,78000,0
Female,46,96000,0
Male,59,143000,1
Female,41,80000,0
Male,35,91000,1
Male,37,144000,1
Male,60,102000,1
Female,35,60000,0
Male,37,53000,0
Female,36,126000,1
Male,56,133000,1
Female,40,72000,0
Female,42,80000,1
Female,35,147000,1
Male,39,42000,0
Male,40,107000,1
Male,49,86000,1
Female,38,112000,0
Male,46,79000,1
Male,40,57000,0
Female,37,80000,0
Female,46,82000,0
Female,53,143000,1
Male,42,149000,1
Male,38,59000,0
Female,50,88000,1
Female,56,104000,1
Female,41,72000,0
Female,51,146000,1
Female,35,50000,0
Female,57,122000,1
Male,41,52000,0
Female,35,97000,1
Female,44,39000,0
Male,37,52000,0
Female,48,134000,1
Female,37,146000,1
Female,50,44000,0
Female,52,90000,1
Female,41,72000,0
Male,40,57000,0
Female,58,95000,1
Female,45,131000,1
Female,35,77000,0
Male,36,144000,1
Female,55,125000,1
Female,35,72000,0
Male,48,90000,1
Female,42,108000,1
Male,40,75000,0
Male,37,74000,0
Female,47,144000,1
Male,40,61000,0
Female,43,133000,0
Female,59,76000,1
Male,60,42000,1
Male,39,106000,1
Female,57,26000,1
Male,57,74000,1
Male,38,71000,0
Male,49,88000,1
Female,52,38000,1
Female,50,36000,1
Female,59,88000,1
Male,35,61000,0
Male,37,70000,1
Female,52,21000,1
Male,48,141000,0
Female,37,93000,1
Female,37,62000,0
Female,48,138000,1
Male,41,79000,0
Female,37,78000,1
Male,39,134000,1
Male,49,89000,1
Male,55,39000,1
Male,37,77000,0
Female,35,57000,0
Female,36,63000,0
Male,42,73000,1
Female,43,112000,1
Male,45,79000,0
Male,46,117000,1
Female,58,38000,1
Male,48,74000,1
Female,37,137000,1
Male,37,79000,1
Female,40,60000,0
Male,42,54000,0
Female,51,134000,0
Female,47,113000,1
Male,36,125000,1
Female,38,50000,0
Female,42,70000,0
Male,39,96000,1
Female,38,50000,0
Female,49,141000,1
Female,39,79000,0
Female,39,75000,1
Female,54,104000,1
Male,35,55000,0
Male,45,32000,1
Male,36,60000,0
Female,52,138000,1
Female,53,82000,1
Male,41,52000,0
Female,48,30000,1
Female,48,131000,1
Female,41,60000,0
Male,41,72000,0
Female,42,75000,0
Male,36,118000,1
Female,47,107000,1
Male,38,51000,0
Female,48,119000,1
Male,42,65000,0
Male,40,65000,0
Male,57,60000,1
Female,36,54000,0
Male,58,144000,1
Male,35,79000,0
Female,38,55000,0
Male,39,122000,1
Female,53,104000,1
Male,35,75000,0
Female,38,65000,0
Female,47,51000,1
Male,47,105000,1
Female,41,63000,0
Male,53,72000,1
Female,54,108000,1
Male,39,77000,0
Male,38,61000,0
Female,38,113000,1
Male,37,75000,0
Female,42,90000,1
Female,37,57000,0
Male,36,99000,1
Male,60,34000,1
Male,54,70000,1
Female,41,72000,0
Male,40,71000,1
Male,42,54000,0
Male,43,129000,1
Female,53,34000,1
Female,47,50000,1
Female,42,79000,0
Male,42,104000,1
Female,59,29000,1
Female,58,47000,1
Male,46,88000,1
Male,38,71000,0
Female,54,26000,1
Female,60,46000,1
Male,60,83000,1
Female,39,73000,0
Male,59,130000,1
Female,37,80000,0
Female,46,32000,1
Female,46,74000,0
Female,42,53000,0
Male,41,87000,1
Female,58,23000,1
Male,42,64000,0
Male,48,33000,1
Female,44,139000,1
Male,49,28000,1
Female,57,33000,1
Male,56,60000,1
Female,49,39000,1
Male,39,71000,0
Male,47,34000,1
Female,48,35000,1
Male,48,33000,1
Male,47,23000,1
Female,45,45000,1
Male,60,42000,1
Female,39,59000,0
Female,46,41000,1
Male,51,23000,1
Female,50,20000,1
Male,36,33000,0
Female,49,36000,1
